AQSID,Latitude,Longitude,ValidTime,PM25
530370002,46.9936,-120.545,4,12.0
060959999,38.167297,-121.688561,4,14.0
230172011,44.5514,-70.5463,4,13.0
132150008,32.5214,-84.9436,4,7.0
410470041,44.943114,-123.005934,4,6.4
840340310005,40.918381,-74.168092,4,20.3
421290008,40.3053,-79.5061,4,24.3
270353204,46.3944,-94.1433,4,23.1
511130003,38.5231,-78.4347,4,11.9
840390610014,39.194331,-84.478974,4,19.8
271377554,46.743889,-92.166946,4,21.7
270530962,44.9653,-93.2551,4,22.9
370510009,35.041416,-78.953112,4,15.0
000060709,46.533194,-84.309917,4,11.0
060530008,36.209286,-121.126371,4,4.0
440070022,41.807523,-71.41392,4,17.0
000065801,42.403964,-82.208306,4,24.0
000100127,49.13278,-122.69417,4,6.5
250112005,42.605816,-72.596689,4,17.0
320050007,38.897611,-119.732101,4,10.0
510690010,39.28102,-78.08157,4,18.4
84032005TRP1,38.966434,-119.931016,4,-2.2
840160410002,42.082222,-111.864167,4,1.0
483390078,30.3503,-95.425,4,6.1
210430500,38.2383,-82.9883,4,17.2
371190041,35.2411,-80.7831,4,13.0
840420810419,41.266192,-77.230933,4,14.5
840060472510,37.30833,-120.480361,4,12.8
840300170005,46.411444,-105.812694,4,12.3
410430009,44.61569,-123.091457,4,4.6
390130006,39.9679,-80.7464,4,15.9
560210100,41.18222,-104.778336,4,1.0
483031028,33.5853,-101.78698,4,6.9
840240396431,38.176541,-75.701489,4,14.9
840310670005,40.28506,-96.82431,4,9.3
371210004,35.912487,-82.062082,4,12.0
530251003,47.24126,-119.84595,4,11.9
000055001,46.7686,-75.4319,4,9.5
201950001,38.7703,-99.7636,4,3.4
202090021,39.1175,-94.6356,4,6.8
040191030,31.8794,-110.9964,4,1.0
840420070008,40.691857,-80.299211,4,19.3
060392010,36.9533,-120.0341,4,11.0
482010058,29.7708,-95.0311,4,8.9
170310057,41.9136,-87.7239,4,7.0
471631007,36.5408,-82.5217,4,7.2
390610048,39.146025,-84.538375,4,13.6
401050207,36.918242,-95.632127,4,4.0
000060512,43.257778,-79.861667,4,12.0
060610006,38.74643,-121.26498,4,13.0
250051004,41.6833,-71.169701,4,15.0
124000060445,43.645451,-79.3891,4,8.0
270370470,44.7383,-93.2372,4,25.4
380070002,46.949699,-103.514397,4,9.2
360610135,40.8197,-73.9481,4,20.6
060310004,36.102219,-119.566002,4,18.0
100031007,39.5513,-75.732,4,16.5
420150011,41.705226,-76.512726,4,18.3
061070009,36.489399,-118.826897,4,11.0
421255200,40.269,-80.244,4,15.2
060798002,35.494556,-120.666203,4,9.0
121056006,28.0294,-81.9719,4,11.3
840470990003,35.116866,-87.419726,4,2.4
401090097,35.502968,-97.577674,4,4.3
040130019,33.483799,-112.142601,4,7.0
330050007,42.930521,-72.272332,4,12.5
471450004,35.9386,-84.5439,4,3.5
551110007,43.4356,-89.6803,4,17.8
840010491003,34.288567,-85.969858,4,4.8
840490352005,40.598056,-111.894167,4,9.6
840180890034,41.653446,-87.435435,4,13.8
160491011,46.061322,-116.3467,4,6.8
250250002,42.3489,-71.097702,4,14.0
260770008,42.2781,-85.5419,4,26.6
471050109,35.7197,-84.3417,4,11.3
530299999,48.294399,-122.660004,4,2.2
410090004,45.768531,-122.7721,4,4.8
550590019,42.5047,-87.8111,4,14.5
330150018,42.862531,-71.38014,4,12.3
360470052,40.641819,-74.018707,4,25.5
060731006,32.842297,-116.768326,4,9.3
840410450001,44.033365,-116.9697,4,8.6
171191007,38.7045,-90.1397,4,5.2
410170120,44.063916,-121.312554,4,5.1
060131004,37.9604,-122.3571,4,11.0
550410007,45.5639,-88.81,4,21.6
191471002,43.123299,-94.693298,4,15.0
211110051,38.0608,-85.8961,4,6.2
530330010,47.552502,-122.064697,4,3.3
131510002,33.4347,-84.1617,4,10.2
550090005,44.5167,-87.9939,4,25.2
460330132,43.557613,-103.483658,4,19.3
371730002,35.434767,-83.442133,4,4.5
840410170117,43.868956,-121.434248,4,4.5
124000051111,45.8713,-72.50318,4,10.5
530770005,46.32033,-119.9981,4,17.0
410430104,44.752092,-122.479672,4,4.1
170316005,41.864329,-87.748826,4,11.5
060731014,32.579361,-116.929486,4,10.5
060932001,41.72679,-122.63359,4,2.0
124000050405,45.41436,-71.88269,4,12.4
120110035,26.131256,-80.167847,4,10.4
530710005,46.0588,-118.3514,4,6.1
530251002,47.1303,-119.2726,4,15.6
840230110016,44.3123,-69.7867,4,14.1
380570004,47.2986,-101.7669,4,12.5
000054401,45.1167,-74.2833,4,10.2
171971002,41.526885,-88.116474,4,12.1
410290201,42.229891,-122.7877,4,4.1
000101301,49.09556,-122.56694,4,3.4
840060731017,32.985442,-117.08218,4,9.0
530090015,48.366058,-124.610046,4,2.7
410111036,43.381943,-124.263885,4,-1.0
410670005,45.39916,-122.7455,4,5.9
060530002,36.48187,-121.73333,4,6.0
171670012,39.831921,-89.644164,4,11.6
320030044,36.0075,-115.263056,4,3.2
410432003,44.778743,-122.617048,4,9.5
211990003,37.097801,-84.611702,4,8.0
060850006,37.338202,-121.849892,4,7.0
CC0050128,45.468297,-73.741185,4,4.4
121171002,28.7456,-81.31,4,7.4
410050004,45.25928,-122.588151,4,4.7
840060831009,34.890667,-120.432844,4,2.0
840300350022,48.607406,-112.363842,4,9.2
080690009,40.571259,-105.079765,4,2.2
530630046,47.827202,-117.2742,4,10.4
000065301,42.672127,-81.162948,4,20.0
840410470023,45.143141,-122.854708,4,5.5
270370480,44.706123,-93.285803,4,22.8
040191028,32.2953,-110.9822,4,2.0
291893001,38.650259,-90.350463,4,3.8
481210034,33.1944,-97.1933,4,10.0
482450022,29.863952,-94.3178,4,5.0
120310098,30.1358,-81.6339,4,8.1
390350038,41.477011,-81.682383,4,22.9
400270049,35.32,-97.4883,4,4.9
510590030,38.77335,-77.10468,4,15.5
840560210004,41.08536,-104.52277,4,1.0
840410110003,43.362575,-124.218856,4,1.1
410590121,45.652231,-118.823033,4,10.4
160291009,42.65167,-111.61472,4,6.2
410350004,42.190296,-121.731369,4,3.6
480290677,29.423933,-98.580505,4,13.4
261630093,42.38599,-83.266319,4,13.9
530050002,46.2183,-119.2015,4,7.2
840490353015,40.7771,-111.945,4,5.5
840450190020,32.84,-79.96,4,8.9
060792007,35.04676,-120.58777,4,4.0
530330030,47.597222,-122.319722,4,20.0
060675003,38.494475,-121.211131,4,10.0
124000060434,43.546174,-79.658797,4,16.0
060190011,36.78538,-119.77321,4,14.2
410390059,44.067223,-123.14135,4,3.0
260490021,43.0289,-83.669403,4,12.0
510870014,37.55652,-77.40027,4,13.2
530750003,46.7245,-117.1801,4,9.6
300750001,45.440295,-105.37028,4,3.5
320030071,36.169756,-115.263038,4,3.2
420910013,40.1122,-75.3092,4,15.0
191630015,41.529999,-90.587502,4,20.4
400019009,35.750599,-94.669701,4,7.1
840421310010,41.605244,-75.95774,4,16.7
482151046,26.288622,-98.152066,4,8.8
000060904,42.974485,-81.200813,4,31.0
261630033,42.3075,-83.15,4,14.4
840391510017,40.786803,-81.394153,4,24.2
484530021,30.2633,-97.7131,4,4.0
000100119,49.21528,-122.98556,4,8.0
260170014,43.5714,-83.8908,4,8.0
840410510031,45.4962,-122.4834,4,3.2
131530001,32.6056,-83.5979,4,10.0
420031376,40.437431,-79.863572,4,22.5
060712002,34.100132,-117.491982,4,22.0
840410170115,44.093619,-121.272518,4,4.8
840560150006,41.918225,-104.295324,4,87.2
840180190010,38.288191,-85.741337,4,4.7
550350014,44.761398,-91.413002,4,20.3
060659001,33.676535,-117.331027,4,13.5
060890004,40.5497,-122.3792,4,7.0
500030004,42.887501,-73.249702,4,16.7
180970081,39.788889,-86.214722,4,5.5
160850002,44.890197,-116.1065,4,10.0
CC0050129,45.651722,-73.573896,4,6.7
000060211,42.292886,-83.073139,4,17.0
120830003,29.170799,-82.1008,4,6.9
840518100008,36.84188,-76.18123,4,11.8
340210005,40.283092,-74.742645,4,18.4
320030075,36.270592,-115.238282,4,3.3
360010005,42.6425,-73.7547,4,19.0
060710306,34.510955,-117.32555,4,10.0
080770017,39.063599,-108.561096,4,2.7
840060195025,36.72622,-119.73249,4,15.8
840060072003,39.757861,-121.607908,4,14.1
840133030001,32.9672,-82.807,4,10.5
420270100,40.8114,-77.8769,4,15.4
080310027,39.732144,-105.015313,4,5.7
270177417,46.713694,-92.511722,4,21.4
391510020,40.800717,-81.373,4,24.1
250270023,42.263901,-71.794701,4,14.0
480291069,29.5294,-98.39139,4,5.0
410010004,44.78822,-117.8446,4,7.7
100031008,39.57768,-75.6036,4,16.9
410392013,43.74436,-122.480506,4,4.7
840410150002,42.054597,-124.276768,4,2.6
840360850055,40.63306,-74.137156,4,19.9
040134003,33.4033,-112.0731,4,3.5
361010003,42.0972,-77.2103,4,20.0
840420031301,40.402267,-79.860942,4,21.2
271453052,45.55,-94.1333,4,26.2
360050110,40.816101,-73.902199,4,22.7
040139812,33.4265,-112.1181,4,2.9
081030006,40.086941,-108.761002,4,1.0
061050002,40.734722,-122.941109,4,7.0
000061201,45.017976,-74.735339,4,12.0
060410001,37.9722,-122.5189,4,24.0
370350004,35.728889,-81.365556,4,10.0
060371302,33.9014,-118.205,4,11.7
TT9209004,36.922222,-94.83889,4,5.6
120310032,30.356111,-81.635556,4,12.4
010735003,33.8017,-86.9425,4,2.9
450790007,34.093899,-80.962196,4,14.7
124000061703,43.952248,-78.91252,4,2.0
490353013,40.496408,-112.036305,4,5.4
530331011,47.5297,-122.3203,4,10.9
390250022,39.0828,-84.1441,4,15.3
380130004,48.641899,-102.402199,4,9.8
510030001,38.07657,-78.50397,4,18.2
060010007,37.687526,-121.784217,4,8.0
551250001,46.0481,-89.6536,4,17.2
000102102,49.20083,-123.99389,4,8.0
550790010,43.0178,-87.9333,4,22.2
000061802,43.551611,-80.264167,4,18.0
120952002,28.5997,-81.3628,4,6.7
840230050015,43.678,-70.2561,4,15.2
530272002,46.9772,-123.8317,4,2.7
000054901,45.3733,-71.2514,4,9.6
484391006,32.7592,-97.3414,4,11.2
271377001,47.5212,-92.5393,4,21.5
131270006,31.1694,-81.4964,4,6.9
261470005,42.9533,-82.4564,4,12.7
420630004,40.5633,-78.92,4,18.7
840320310031,39.521918,-119.795444,4,7.0
000053601,46.8508,-70.4528,4,7.1
361030009,40.8278,-73.0575,4,16.7
410610120,45.300884,-117.812896,4,8.3
120210004,26.2992,-81.72,4,7.1
530639995,47.808226,-117.34327,4,20.0
110010043,38.921848,-77.013176,4,13.0
420030008,40.4656,-79.9611,4,22.2
840410030014,44.565803,-123.292706,4,3.7
360291014,42.9981,-78.8993,4,19.1
060670011,38.302591,-121.420838,4,12.0
171132003,40.5169,-88.9975,4,13.6
390350073,41.4409,-81.4949,4,20.5
060611004,39.166,-120.1488,4,9.0
410290019,42.623225,-122.810158,4,3.1
840410352040,42.541077,-121.921636,4,2.9
060570005,39.234402,-121.055603,4,0.0
170314201,42.1406,-87.7994,4,10.2
320030073,36.173415,-115.332728,4,3.5
400310651,34.632999,-98.428802,4,7.1
180390008,41.657155,-85.968446,4,23.8
120110034,26.054047,-80.257608,4,7.0
201770013,39.0242,-95.7114,4,5.4
120866001,25.4719,-80.4828,4,8.9
211950002,37.4828,-82.5353,4,14.1
250154002,42.298302,-72.334396,4,14.0
010732003,33.4997,-86.9242,4,1.4
840560131003,42.842227,-108.735562,4,0.0
230050029,43.660248,-70.268967,4,9.0
160211007,48.995911,-116.509953,4,9.8
130890003,33.698611,-84.272608,4,12.3
390850007,41.726811,-81.242156,4,11.2
440071010,41.840302,-71.361702,4,15.0
040131004,33.560299,-112.066299,4,4.3
120112003,26.2906,-80.0969,4,7.4
160150001,43.823017,-115.838557,4,7.0
560250100,42.82231,-106.36501,4,7.0
840530250003,47.385564,-119.489855,4,17.6
170434002,41.7714,-88.1522,4,11.3
380171004,46.933601,-96.854698,4,15.0
560350101,42.8698,-109.8708,4,8.5
840490190007,38.566055,-109.537167,4,10.5
010970003,30.7697,-88.0875,4,5.9
370670022,36.110933,-80.224411,4,19.3
421330008,39.9653,-76.6994,4,15.9
060192016,36.71088,-119.77743,4,12.0
060690002,36.843425,-121.3621,4,5.0
080310028,39.785622,-104.988469,4,5.0
450450015,34.843899,-82.414597,4,9.6
191130040,41.9767,-91.6878,4,16.3
530410004,46.664089,-122.967323,4,4.2
060290014,35.356615,-119.062613,4,7.1
060832004,34.637798,-120.456703,4,4.0
124000060450,43.669911,-79.766589,4,9.0
420030064,40.323898,-79.868301,4,27.0
480371031,33.435489,-94.075671,4,14.7
840390170015,39.49072,-84.36374,4,24.9
120570113,27.955133,-82.469532,4,9.4
381010003,47.940861,-101.571583,4,8.4
230031011,46.682299,-68.016195,4,5.3
060650016,33.583099,-117.072197,4,21.5
490571003,41.302799,-111.988297,4,3.5
840340170008,40.770908,-74.036218,4,20.7
840410290029,42.332037,-122.890678,4,6.8
530570015,48.410198,-122.337601,4,3.2
420950025,40.6281,-75.3411,4,19.2
060631010,39.8134,-120.4707,4,-0.1
060010009,37.743061,-122.169907,4,8.0
060871005,37.06315,-122.083092,4,8.0
060370016,34.1439,-117.8508,4,13.1
320030298,36.048705,-115.052942,4,2.9
060631007,40.301899,-121.235001,4,5.0
360652001,43.0994,-75.225,4,27.6
410591003,45.828968,-119.262991,4,8.2
840TT5821016,33.9446,-116.8303,4,15.0
170313103,41.965,-87.8761,4,10.9
370570002,35.8145,-80.2627,4,6.0
121030004,27.9711,-82.7361,4,8.8
840471252001,36.611411,-87.384666,4,7.3
011011002,32.412811,-86.263394,4,11.5
261630001,42.2283,-83.2092,4,15.0
060830011,34.42775,-119.69091,4,15.0
261530001,46.2889,-85.9503,4,20.7
040213002,33.42,-111.5042,4,1.3
300630024,46.842297,-114.020549,4,9.4
490494001,40.3414,-111.7136,4,8.8
040134005,33.4124,-111.9347,4,3.0
320311007,39.621462,-119.718738,4,9.0
410391009,44.046683,-123.017736,4,2.8
840061079998,36.1358,-118.8108,4,26.6
120030002,30.1972,-82.445,4,9.8
211110080,38.1825,-85.5744,4,5.7
840380250004,47.342589,-102.645997,4,13.0
130511002,32.0903,-81.1306,4,13.9
060670012,38.683304,-121.164457,4,8.0
530570011,48.52008,-122.613213,4,4.0
390610006,39.2787,-84.36612,4,25.2
360551007,43.1461,-77.5481,4,18.3
471410005,36.1857,-85.4921,4,7.7
010030010,30.4889,-87.8706,4,8.3
160590004,45.181907,-113.890285,4,9.0
120861016,25.7947,-80.2156,4,7.1
840250170010,42.612113,-71.307519,4,14.0
271377550,46.8183,-92.0892,4,20.7
120230002,30.1783,-82.6192,4,10.8
000101101,49.15611,-121.94056,4,6.8
340410007,40.924606,-75.067825,4,19.9
420710012,40.0439,-76.1125,4,23.4
490130002,40.2943,-110.009,4,4.2
280450003,30.300917,-89.395954,4,5.2
410432002,44.3958,-122.7305,4,5.9
480271045,31.122527,-97.431158,4,8.7
060990006,37.4883,-120.8358,4,18.0
CC0050134,45.542767,-73.572039,4,7.9
250130008,42.194401,-72.555603,4,17.0
350250008,32.7267,-103.1233,4,6.5
250250044,42.325197,-71.056056,4,14.0
000060610,46.492002,-81.003099,4,9.0
840420030002,40.499789,-80.071347,4,17.2
040132001,33.5694,-112.1915,4,1.3
840160170006,48.272,-116.569,4,18.0
840530330047,47.2814,-122.2233,4,6.4
391530017,41.063526,-81.468956,4,19.5
490050007,41.842778,-111.85194,4,4.2
420290100,39.8344,-75.7678,4,15.4
160571012,46.578731,-116.708958,4,0.9
210130002,36.6081,-83.7369,4,11.3
191390019,41.4014,-91.0684,4,18.0
121130015,30.3942,-87.0081,4,6.1
420710007,40.0467,-76.2833,4,17.2
171570001,38.1761,-89.7883,4,5.5
350011012,35.185,-106.5077,4,1.4
160830007,42.565089,-114.494717,4,5.0
280490020,32.329042,-90.182659,4,12.4
130590002,33.925,-83.3575,4,6.2
840240476432,38.013875,-75.545666,4,13.1
840080010010,39.8281,-104.93645,4,4.1
421010075,40.054171,-74.985166,4,25.1
410370001,42.189215,-120.353969,4,5.8
320030540,36.141875,-115.078742,4,3.4
840132150012,32.4274,-84.9457,4,8.2
060250005,32.67618,-115.48307,4,8.2
840420510524,39.917663,-79.805499,4,15.5
060290010,35.3853,-119.014702,4,12.0
000103502,49.317698,-117.661527,4,36.5
061113001,34.25239,-119.14318,4,8.0
131210056,33.778315,-84.391418,4,19.6
840421150215,41.867336,-75.686602,4,19.0
840TT5980500,33.71969,-116.1897,4,13.8
300490004,46.8505,-111.987164,4,7.4
530530012,46.7841,-121.740303,4,13.2
240150003,39.701099,-75.860001,4,13.0
060670015,38.593328,-121.503728,4,11.0
060832011,34.445301,-119.827797,4,12.0
124000067001,43.52965,-79.862449,4,14.0
