AQSID,Latitude,Longitude,ValidTime,PM25
840060374009,33.793713,-118.171019,4,8.0
060371103,34.066429,-118.226755,4,6.0
060371302,33.9014,-118.205,4,5.9
060371201,34.1992,-118.5331,4,13.3
840060374010,34.181977,-118.363036,4,5.7
060590007,33.830586,-117.938509,4,6.6
060370016,34.1439,-117.8508,4,13.8
060371103,34.066429,-118.226755,5,6.5
060370016,34.1439,-117.8508,5,12.6
060371302,33.9014,-118.205,5,6.6
840060374010,34.181977,-118.363036,5,4.9
840060374009,33.793713,-118.171019,5,5.6
060371201,34.1992,-118.5331,5,19.3
060590007,33.830586,-117.938509,5,5.4
840060374010,34.181977,-118.363036,6,9.1
060371302,33.9014,-118.205,6,6.6
060590007,33.830586,-117.938509,6,8.1
060371103,34.066429,-118.226755,6,5.7
060371201,34.1992,-118.5331,6,13.3
840060374009,33.793713,-118.171019,6,5.3
060370016,34.1439,-117.8508,6,10.6
840060374009,33.793713,-118.171019,7,5.8
840060374010,34.181977,-118.363036,7,9.5
060371103,34.066429,-118.226755,7,4.5
060370016,34.1439,-117.8508,7,8.6
060371201,34.1992,-118.5331,7,11.4
060371302,33.9014,-118.205,7,4.4
060590007,33.830586,-117.938509,7,9.1
060370016,34.1439,-117.8508,8,5.7
060371103,34.066429,-118.226755,8,3.8
060590007,33.830586,-117.938509,8,7.1
060371201,34.1992,-118.5331,8,9.2
840060374009,33.793713,-118.171019,8,11.2
060371302,33.9014,-118.205,8,5.9
840060374010,34.181977,-118.363036,8,6.6
840060374010,34.181977,-118.363036,9,6.4
060590007,33.830586,-117.938509,9,7.4
060371302,33.9014,-118.205,9,6.6
060371201,34.1992,-118.5331,9,10.6
060370016,34.1439,-117.8508,9,7.4
840060374009,33.793713,-118.171019,9,6.6
060371103,34.066429,-118.226755,9,4.7
060371103,34.066429,-118.226755,10,7.7
840060374009,33.793713,-118.171019,10,4.6
060371201,34.1992,-118.5331,10,11.6
840060374010,34.181977,-118.363036,10,6.6
060590007,33.830586,-117.938509,10,8.1
060370016,34.1439,-117.8508,10,8.4
060371302,33.9014,-118.205,10,5.1
060371103,34.066429,-118.226755,11,8.6
060590007,33.830586,-117.938509,11,8.6
840060374010,34.181977,-118.363036,11,3.8
060370016,34.1439,-117.8508,11,17.5
840060374009,33.793713,-118.171019,11,6.6
060371302,33.9014,-118.205,11,6.1
060371201,34.1992,-118.5331,11,10.8
060370016,34.1439,-117.8508,12,13.6
060590007,33.830586,-117.938509,12,7.4
060371103,34.066429,-118.226755,12,5.5
060371201,34.1992,-118.5331,12,9.7
840060374009,33.793713,-118.171019,12,5.6
840060374010,34.181977,-118.363036,12,4.7
060371302,33.9014,-118.205,12,7.1
060371103,34.066429,-118.226755,13,6.9
840060374010,34.181977,-118.363036,13,11.0
060371201,34.1992,-118.5331,13,18.3
060371302,33.9014,-118.205,13,6.6
840060374009,33.793713,-118.171019,13,4.9
060370016,34.1439,-117.8508,13,12.6
060590007,33.830586,-117.938509,13,9.6
060370016,34.1439,-117.8508,14,16.3
060371103,34.066429,-118.226755,14,7.4
060371201,34.1992,-118.5331,14,18.8
060371302,33.9014,-118.205,14,7.5
060590007,33.830586,-117.938509,14,9.6
840060374009,33.793713,-118.171019,14,3.7
840060374010,34.181977,-118.363036,14,13.7
060371302,33.9014,-118.205,15,5.6
060371201,34.1992,-118.5331,15,8.3
060590007,33.830586,-117.938509,15,5.9
060371103,34.066429,-118.226755,15,5.3
840060374009,33.793713,-118.171019,15,6.6
840060374010,34.181977,-118.363036,15,12.5
060370016,34.1439,-117.8508,15,12.8
060590007,33.830586,-117.938509,16,5.2
060371302,33.9014,-118.205,16,3.4
060371201,34.1992,-118.5331,16,16.5
060370016,34.1439,-117.8508,16,11.8
840060374009,33.793713,-118.171019,16,8.3
060371103,34.066429,-118.226755,16,5.8
840060374010,34.181977,-118.363036,16,10.5
840060374009,33.793713,-118.171019,17,4.9
060371201,34.1992,-118.5331,17,14.8
060590007,33.830586,-117.938509,17,7.8
060370016,34.1439,-117.8508,17,16.1
060371103,34.066429,-118.226755,17,4.3
060371302,33.9014,-118.205,17,6.1
840060374010,34.181977,-118.363036,17,8.3
060371103,34.066429,-118.226755,18,5.2
840060374009,33.793713,-118.171019,18,4.9
060371201,34.1992,-118.5331,18,13.6
060590007,33.830586,-117.938509,18,8.3
060370016,34.1439,-117.8508,18,7.3
840060374010,34.181977,-118.363036,18,8.1
060371302,33.9014,-118.205,18,4.9
060371103,34.066429,-118.226755,19,9.0
060371201,34.1992,-118.5331,19,11.4
060590007,33.830586,-117.938509,19,7.1
840060374010,34.181977,-118.363036,19,11.7
060371302,33.9014,-118.205,19,3.9
840060374009,33.793713,-118.171019,19,4.2
060370016,34.1439,-117.8508,19,14.8
060371103,34.066429,-118.226755,20,10.5
060371201,34.1992,-118.5331,20,10.6
060370016,34.1439,-117.8508,20,13.3
840060374010,34.181977,-118.363036,20,12.2
060590007,33.830586,-117.938509,20,8.4
840060374009,33.793713,-118.171019,20,3.9
060371302,33.9014,-118.205,20,7.5
840060374009,33.793713,-118.171019,21,4.6
060590007,33.830586,-117.938509,21,10.3
840060374010,34.181977,-118.363036,21,9.8
060371201,34.1992,-118.5331,21,11.4
060370016,34.1439,-117.8508,21,13.3
060371302,33.9014,-118.205,21,11.2
060371103,34.066429,-118.226755,21,7.9
840060374009,33.793713,-118.171019,22,3.9
060371302,33.9014,-118.205,22,8.3
840060374010,34.181977,-118.363036,22,9.3
060590007,33.830586,-117.938509,22,11.3
060370016,34.1439,-117.8508,22,9.3
060371103,34.066429,-118.226755,22,5.5
060371201,34.1992,-118.5331,22,10.4
060590007,33.830586,-117.938509,23,7.6
060371201,34.1992,-118.5331,23,9.2
060371103,34.066429,-118.226755,23,3.6
840060374010,34.181977,-118.363036,23,8.1
840060374009,33.793713,-118.171019,23,3.2
060370016,34.1439,-117.8508,23,6.2
060371302,33.9014,-118.205,23,4.2
060590007,33.830586,-117.938509,24,7.1
840060374010,34.181977,-118.363036,24,6.9
840060374009,33.793713,-118.171019,24,4.6
060371103,34.066429,-118.226755,24,2.8
060371302,33.9014,-118.205,24,4.4
060370016,34.1439,-117.8508,24,7.4
060371201,34.1992,-118.5331,24,8.2
060371302,33.9014,-118.205,25,7.6
840060374010,34.181977,-118.363036,25,4.2
060371201,34.1992,-118.5331,25,6.8
840060374009,33.793713,-118.171019,25,5.1
060371103,34.066429,-118.226755,25,1.3
060590007,33.830586,-117.938509,25,9.1
060370016,34.1439,-117.8508,25,7.4
060371201,34.1992,-118.5331,26,8.9
840060374010,34.181977,-118.363036,26,3.0
840060374009,33.793713,-118.171019,26,4.4
060590007,33.830586,-117.938509,26,9.6
060371302,33.9014,-118.205,26,5.1
060370016,34.1439,-117.8508,26,5.2
060371103,34.066429,-118.226755,26,1.6
060590007,33.830586,-117.938509,27,5.9
060371201,34.1992,-118.5331,27,10.1
840060374009,33.793713,-118.171019,27,3.4
060370016,34.1439,-117.8508,27,2.3
060371103,34.066429,-118.226755,27,1.6
840060374010,34.181977,-118.363036,27,5.7
060371302,33.9014,-118.205,27,6.3
060590007,33.830586,-117.938509,28,5.4
840060374010,34.181977,-118.363036,28,5.4
060371201,34.1992,-118.5331,28,12.1
840060374009,33.793713,-118.171019,28,5.8
060371103,34.066429,-118.226755,28,1.1
060370016,34.1439,-117.8508,28,2.5
060371302,33.9014,-118.205,28,4.9
060590007,33.830586,-117.938509,29,7.9
840060374009,33.793713,-118.171019,29,5.4
060371103,34.066429,-118.226755,29,5.2
060371302,33.9014,-118.205,29,6.4
840060374010,34.181977,-118.363036,29,5.0
060371201,34.1992,-118.5331,29,11.5
060370016,34.1439,-117.8508,29,3.5
060371103,34.066429,-118.226755,30,3.1
840060374010,34.181977,-118.363036,30,6.2
060371302,33.9014,-118.205,30,4.2
840060374009,33.793713,-118.171019,30,5.4
060371201,34.1992,-118.5331,30,6.5
060370016,34.1439,-117.8508,30,4.2
060590007,33.830586,-117.938509,30,4.7
060371103,34.066429,-118.226755,31,1.3
060370016,34.1439,-117.8508,31,5.7
060371201,34.1992,-118.5331,31,7.7
060371302,33.9014,-118.205,31,2.2
060590007,33.830586,-117.938509,31,4.7
840060374009,33.793713,-118.171019,31,5.8
840060374010,34.181977,-118.363036,31,5.0
060371103,34.066429,-118.226755,32,5.3
060370016,34.1439,-117.8508,32,4.9
840060374010,34.181977,-118.363036,32,4.5
840060374009,33.793713,-118.171019,32,5.3
060590007,33.830586,-117.938509,32,3.5
060371302,33.9014,-118.205,32,2.9
060371201,34.1992,-118.5331,32,8.2
060371103,34.066429,-118.226755,33,4.0
840060374010,34.181977,-118.363036,33,7.1
060371201,34.1992,-118.5331,33,6.0
