ValidTime,Latitude,Longitude,PM25
13.0,33.75,-118.5,5.8
13.0,33.75,-118.25,13.3
13.0,33.75,-118.0,32.7
13.0,33.75,-117.75,44.2
13.0,34.0,-118.5,62.6
13.0,34.0,-118.25,72.5
13.0,34.0,-118.0,84.0
13.0,34.0,-117.75,113.2
13.0,34.25,-118.5,31.5
13.0,34.25,-118.25,38.7
13.0,34.25,-118.0,45.9
13.0,34.25,-117.75,46.0
14.0,33.75,-118.5,5.9
14.0,33.75,-118.25,13.3
14.0,33.75,-118.0,35.5
14.0,33.75,-117.75,52.9
14.0,34.0,-118.5,62.7
14.0,34.0,-118.25,71.6
14.0,34.0,-118.0,84.7
14.0,34.0,-117.75,123.5
14.0,34.25,-118.5,29.7
14.0,34.25,-118.25,37.7
14.0,34.25,-118.0,43.2
14.0,34.25,-117.75,36.5
15.0,33.75,-118.5,6.2
15.0,33.75,-118.25,11.8
15.0,33.75,-118.0,31.0
15.0,33.75,-117.75,50.6
15.0,34.0,-118.5,57.2
15.0,34.0,-118.25,66.0
15.0,34.0,-118.0,75.5
15.0,34.0,-117.75,117.2
15.0,34.25,-118.5,24.7
15.0,34.25,-118.25,34.7
15.0,34.25,-118.0,39.2
15.0,34.25,-117.75,25.7
16.0,33.75,-118.5,6.7
16.0,33.75,-118.25,10.7
16.0,33.75,-118.0,25.0
16.0,33.75,-117.75,44.2
16.0,34.0,-118.5,41.7
16.0,34.0,-118.25,43.8
16.0,34.0,-118.0,53.0
16.0,34.0,-117.75,86.2
16.0,34.25,-118.5,15.6
16.0,34.25,-118.25,23.7
16.0,34.25,-118.0,24.9
16.0,34.25,-117.75,14.3
17.0,33.75,-118.5,7.9
17.0,33.75,-118.25,10.3
17.0,33.75,-118.0,19.7
17.0,33.75,-117.75,35.5
17.0,34.0,-118.5,22.8
17.0,34.0,-118.25,24.3
17.0,34.0,-118.0,34.3
17.0,34.0,-117.75,57.8
17.0,34.25,-118.5,11.8
17.0,34.25,-118.25,14.1
17.0,34.25,-118.0,14.8
17.0,34.25,-117.75,8.3
18.0,33.75,-118.5,8.5
18.0,33.75,-118.25,9.9
18.0,33.75,-118.0,14.3
